STN---,WBAN,YEARMODA,TEMP,Unnamed: 4,DEWP,Unnamed: 6,SLP,Unnamed: 8,STP,Unnamed: 10,VISIB,Unnamed: 12,WDSP,Unnamed: 14,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
10010,99999,20200316,14.8,24,11.6,24,998.4,24,997.2,24,5.3,6,16.3,24,32.6,51.5,26.2,11.8,0.17G,999.9,1000
10010,99999,20200317,20.2,23,14.1,23,994.2,23,993.0,23,7.1,5,24.7,23,37.1,52.1,22.8,15.1,0.04G,999.9,0
10010,99999,20200318,19.2,23,10.8,23,1012.9,23,1011.7,23,9.4,5,16.8,23,25.8,35.4,22.1,17.2,0.01G,999.9,1000
10010,99999,20200319,17.6,24,9.3,24,1025.4,24,1024.2,24,6.5,6,9.7,24,15.9,23.9,19.2,14.5,0.00G,999.9,11000
10010,99999,20200320,22.1,24,16.0,24,1023.8,24,1022.6,24,10.5,6,5.9,24,16.1,22.0,33.1*,10.2,0.02G,999.9,1000
10010,99999,20200321,34.2,24,31.9,24,1004.6,24,1003.4,24,4.2,6,13.7,24,23.9,31.3,35.6,30.0,0.01G,999.9,0
10010,99999,20200322,29.7,24,23.8,24,994.9,24,993.7,24,7.0,6,12.8,24,21.8,37.1,31.5*,26.4,0.01G,999.9,1000
10010,99999,20200323,33.9,24,32.3,24,976.0,24,974.9,24,2.0,6,16.4,24,23.3,28.4,36.1,27.7,0.22G,999.9,11000
10010,99999,20200324,27.6,24,23.9,24,979.6,24,978.4,24,2.6,6,16.6,24,32.1,43.1,32.4*,22.3*,0.18G,999.9,11000
10010,99999,20200325,21.2,24,14.5,24,1001.8,24,1000.6,24,10.9,6,5.3,24,13.6,999.9,23.5*,19.2,0.15G,999.9,1000
10010,99999,20200326,26.4,24,22.1,24,1000.9,24,999.7,24,10.7,6,7.5,24,22.7,28.4,28.4*,21.9,0.02G,999.9,101000
10010,99999,20200327,17.4,24,9.5,24,1019.1,24,1017.9,24,2.4,6,18.9,24,24.3,39.2,27.1,14.0*,0.11G,999.9,0
10010,99999,20200328,21.5,24,10.1,24,1030.7,24,1029.5,24,10.1,6,8.8,24,17.3,33.8,27.5*,15.1,0.02G,999.9,0
10010,99999,20200329,26.7,24,17.7,24,1028.3,24,1027.1,24,36.2,6,8.1,24,16.9,20.8,30.4,23.4,0.00G,999.9,0
10010,99999,20200330,30.1,24,26.9,24,1007.0,24,1005.8,24,5.3,6,21.2,24,37.5,47.0,34.0,22.5,0.00G,999.9,111000
10010,99999,20200331,21.6,24,16.7,24,1011.8,24,1010.6,24,7.0,6,22.4,24,28.4,49.3,27.7,18.7,0.01G,999.9,10000
10010,99999,20200401,28.8,24,24.9,24,1002.6,24,1001.4,24,4.8,6,18.2,24,26.4,40.2,32.2,23.0*,0.04G,999.9,1000
10010,99999,20200402,20.4,24,14.4,24,1006.4,24,1005.2,24,3.3,6,20.9,24,27.8,38.7,29.8,18.5*,0.07G,999.9,1000
10010,99999,20200403,13.6,24,8.0,24,1011.4,24,1010.2,24,1.2,6,26.6,24,34.4,47.6,21.7,10.0,0.03G,999.9,100000
10010,99999,20200404,10.3,24,3.6,24,1017.2,24,1016.0,24,1.5,6,17.4,24,25.1,45.1,13.1*,8.2,0.06G,999.9,1000
